iter	Passed	Remaining
0	7	241
1	11	186
2	14	159
3	18	145
4	23	142
5	27	132
6	30	123
7	34	115
8	34	99
9	38	97
10	42	92
11	45	87
12	46	78
13	49	74
14	53	71
15	56	67
16	59	63
17	61	58
18	66	55
19	69	52
20	72	48
21	76	45
22	77	40
23	81	37
24	82	32
25	85	29
26	88	26
27	92	23
28	95	19
29	99	16
30	102	13
31	105	9
32	109	6
33	111	3
34	115	0
